condition,keep_fraction,seed,method,num_samples,relative_l2_mean,relative_l2_ci95_low,relative_l2_ci95_high,correlation_mean,correlation_ci95_low,correlation_ci95_high,mse_mean,mse_ci95_low,mse_ci95_high
periodic_theta89,1.0,20260802,Time reversal,1000,0.6561570969820023,0.6514520033106208,0.6609258110322058,0.7572552584439015,0.7522611069598334,0.7622021018652823,0.04392353846333987,0.04280541955947817,0.0450910482930104
periodic_theta89,1.0,20260802,Iterated time reversal,1000,0.3173933880329132,0.3101403494041413,0.32464315867312254,0.9294407429140129,0.9260708153712354,0.9327238038441483,0.009780019421453097,0.009459518714362371,0.010114035015214465
periodic_theta89,1.0,20260802,Gradient descent (1/L),1000,0.36849181820452215,0.3623104497075081,0.37464894084483386,0.9093081349698141,0.905937797696175,0.912640799171272,0.013160898983133645,0.012827936454811997,0.013521095410525487
periodic_theta89,1.0,20260802,FNO-only,1000,1.165970369040966,1.1520572606772184,1.1793481001898645,0.4496473317538967,0.4420957125039341,0.4572174611743798,0.12961888159213855,0.12742116114204172,0.131870826514957
periodic_theta89,1.0,20260802,Fourier-to-FNO,1000,0.41317371240258216,0.40823957524895665,0.41819519971981645,0.9040028595566637,0.9015917158558783,0.9063660948530913,0.015990105267974442,0.015763595957619,0.016206853370240044
periodic_theta89,1.0,20260802,FNO-to-Fourier,1000,0.3639815501049161,0.3554754687760025,0.372315860715881,0.9043036075249559,0.8992519951976343,0.9089688409343123,0.01277708229061836,0.012335846835648938,0.013215120096536722
pml_outside_theta45,1.0,20260802,Fourier inverse,1000,0.8501477228403092,0.8464709444284438,0.8537728833571075,0.505080135490259,0.49740937519376943,0.5127641099086726,0.07259506148787671,0.07107124635920377,0.07420718722219231
pml_outside_theta45,1.0,20260802,Time reversal,1000,0.7099701361060142,0.7048867826029658,0.7150437784746289,0.6606622541984581,0.6539791533615785,0.6672256957438606,0.049573231819753684,0.04858275792550182,0.05052571114868897
pml_outside_theta45,1.0,20260802,Iterated time reversal,1000,0.5092581140697002,0.5023405891984701,0.516531809489429,0.8187990500524004,0.8137262108537913,0.8240508388012848,0.024503102876647864,0.024047954160283415,0.024973715648071465
pml_outside_theta45,1.0,20260802,Gradient descent (1/L),1000,0.5776728790998459,0.5709485335566103,0.5839184961996973,0.766792062106804,0.7611592292479762,0.7720631619612099,0.03194751731274176,0.03141518696489079,0.032505614372303905
pml_outside_theta45,1.0,20260802,FNO-only,1000,1.6399064524769782,1.6172855891644955,1.6639405623733998,0.28104437997142967,0.27438312685159494,0.28767545794470967,0.24663406359089646,0.24382891122955025,0.24943163936916593
pml_outside_theta45,1.0,20260802,Fourier-to-FNO,1000,0.6809547542929649,0.6741409182779491,0.6878687333084642,0.669759793407862,0.6620526906738456,0.677643449530726,0.04572664621787532,0.044786843705950194,0.046705761232813656
pml_outside_theta45,1.0,20260802,FNO-to-Fourier,1000,0.6041846478581429,0.5935914361968636,0.6139391904205084,0.7160407630995406,0.7048424787219034,0.7271161409422391,0.035725794347619806,0.034709642995411925,0.0367886650683825
